profile_id,module_path,invocation_index,shape,dtype,epsilon,elementwise_affine,input_sha256,output_sha256,input_stats,output_stats
action_dit_norm3,action_head.model.transformer_blocks.5.norm3,5,"[1, 41, 1536]",bfloat16,1e-05,False,fcba13c37154716c16a2d1efe4b8bf376f9a78257207c79dcf8bd85b4e1397f5,bcc0342f6f00c959db97b5c7fb955ea9cbc1715fcfeb48474110a2d28fbb70ba,"{""inf_count"": 0, ""max"": 402.0, ""mean"": 0.1575530767440796, ""min"": -362.0, ""nan_count"": 0, ""std"": 8.216412544250488, ""zero_count"": 41}","{""inf_count"": 0, ""max"": 20.125, ""mean"": -5.675767624779837e-07, ""min"": -14.25, ""nan_count"": 0, ""std"": 0.9998932480812073, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.6.norm1.norm,6,"[1, 41, 1536]",bfloat16,1e-05,False,45b1c329f2ac5c5ab732433412c498d2f39a3184f9865efb9572ba6b88a4da63,7e997223ec3123a1dcfcf94b2ff09f409ef597de2a02077c90c75bba8908522a,"{""inf_count"": 0, ""max"": 450.0, ""mean"": 0.1642589122056961, ""min"": -404.0, ""nan_count"": 0, ""std"": 8.847325325012207, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 20.375, ""mean"": -5.199172846914735e-06, ""min"": -14.0625, ""nan_count"": 0, ""std"": 1.000011920928955, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.6.norm3,6,"[1, 41, 1536]",bfloat16,1e-05,False,4a64dd7a33aec81adf20528519d504619399e636f22b1231280aefefead3ad60,2c3f004191e39ac21e960eddc512dc8399f40765d8995ab4851a8133c30ce1e7,"{""inf_count"": 0, ""max"": 452.0, ""mean"": 0.1581054925918579, ""min"": -404.0, ""nan_count"": 0, ""std"": 8.88261890411377, ""zero_count"": 10}","{""inf_count"": 0, ""max"": 20.5, ""mean"": -1.1475106020952808e-06, ""min"": -14.0625, ""nan_count"": 0, ""std"": 1.0000184774398804, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.7.norm1.norm,7,"[1, 41, 1536]",bfloat16,1e-05,False,0b715fae428b2f17ef53881f2b38923d9034bcf9ae145b819811894cca676924,1f75679201ffc1a558c450348dbfc5953db440969f192a3e395b9d398396a2a6,"{""inf_count"": 0, ""max"": 492.0, ""mean"": 0.16265293955802917, ""min"": -446.0, ""nan_count"": 0, ""std"": 9.516491889953613, ""zero_count"": 10}","{""inf_count"": 0, ""max"": 20.625, ""mean"": 7.903793630248401e-06, ""min"": -14.0, ""nan_count"": 0, ""std"": 0.999941885471344, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.7.norm3,7,"[1, 41, 1536]",bfloat16,1e-05,False,da3ffd1fff915f63b591425bab5f22a32cdcfc2960bad4d20f160443720584b8,060ee59cb4104d4aff2f32143e9377c9eaecc14971a8de05a0ae424ddbadf948,"{""inf_count"": 0, ""max"": 478.0, ""mean"": 0.14509260654449463, ""min"": -440.0, ""nan_count"": 0, ""std"": 9.097687721252441, ""zero_count"": 45}","{""inf_count"": 0, ""max"": 20.25, ""mean"": -3.910403847839916e-06, ""min"": -14.125, ""nan_count"": 0, ""std"": 0.9999715089797974, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.8.norm1.norm,8,"[1, 41, 1536]",bfloat16,1e-05,False,1d091d57529715e64806b81089047c837bbfde6e07a0202283d54da27e9025c8,f89d65aac8e54c45dcd17460ea778b0fcc82efba0d3cccfd1a976aa357799be6,"{""inf_count"": 0, ""max"": 506.0, ""mean"": 0.1433926671743393, ""min"": -460.0, ""nan_count"": 0, ""std"": 9.345207214355469, ""zero_count"": 9}","{""inf_count"": 0, ""max"": 19.875, ""mean"": -2.653860519785667e-06, ""min"": -14.0, ""nan_count"": 0, ""std"": 1.0000808238983154, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.8.norm3,8,"[1, 41, 1536]",bfloat16,1e-05,False,43e0c7bd56c49c17ec2fb41e4e973c331e99ce93426df8af5046588371984064,53325e094366706f2489cf5b6d3ea0735bcd03bc0a996088392cd71300ba13da,"{""inf_count"": 0, ""max"": 508.0, ""mean"": 0.14193858206272125, ""min"": -460.0, ""nan_count"": 0, ""std"": 9.38910961151123, ""zero_count"": 11}","{""inf_count"": 0, ""max"": 19.875, ""mean"": -2.18080313061364e-05, ""min"": -14.0, ""nan_count"": 0, ""std"": 0.9999538660049438, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.9.norm1.norm,9,"[1, 41, 1536]",bfloat16,1e-05,False,a747001141849a81381fa98d65f2af5f03ea220d3e9199934eec027e1feee456,4c982f53abefc7965daa8be515ea2ca9e01217108d4de73a1ff5d23ebcb24734,"{""inf_count"": 0, ""max"": 536.0, ""mean"": 0.14009027183055878, ""min"": -486.0, ""nan_count"": 0, ""std"": 9.782560348510742, ""zero_count"": 12}","{""inf_count"": 0, ""max"": 19.625, ""mean"": -4.081949100509519e-06, ""min"": -13.875, ""nan_count"": 0, ""std"": 0.9999352097511292, ""zero_count"": 0}"
action_dit_norm3,action_head.model.transformer_blocks.9.norm3,9,"[1, 41, 1536]",bfloat16,1e-05,False,be2d19ff6460c197387ed952ddd815d38ab79fe98f231695dace950041a8ebdb,afa8e05d42fbb117ce294360b634750e707b56aac7b501e54ef3577b10192f7f,"{""inf_count"": 0, ""max"": 524.0, ""mean"": 0.11853556334972382, ""min"": -482.0, ""nan_count"": 0, ""std"": 9.496692657470703, ""zero_count"": 41}","{""inf_count"": 0, ""max"": 19.125, ""mean"": -1.7268386045543593e-06, ""min"": -14.0, ""nan_count"": 0, ""std"": 1.0000115633010864, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.10.norm1.norm,10,"[1, 41, 1536]",bfloat16,1e-05,False,7532abf044e6de3680f1f483e90a4677b72a4e690a8a27d7e1dc186fd35eea43,6305fae221f2a065f482058b92c2ba94aa31b48e5b62f06ee7649925241e53f4,"{""inf_count"": 0, ""max"": 544.0, ""mean"": 0.11577660590410233, ""min"": -498.0, ""nan_count"": 0, ""std"": 9.7468900680542, ""zero_count"": 16}","{""inf_count"": 0, ""max"": 18.75, ""mean"": 1.3307342669577338e-05, ""min"": -14.0, ""nan_count"": 0, ""std"": 1.000025749206543, ""zero_count"": 0}"
